symbol-id;symbol-en;symbol-fi;category
1;a;a;aakkoset
2;a_-_lower_case;a;aakkoset
3;above;yläpuolella;kuvaileva sijainti
4;absent;poissa;kuvaileva tila
5;acne_spots;akne;terveys terveydentila
6;acorn;tammenterho;kasvit ja puut
7;across;yli;kuvaileva suunta
8;activity_centre;toimintakeskus;vapaa-aika lelut
9;add;plus;numerot laskutoimitukset
10;advent;adventti;uskonto juhlapäivä
11;advent_calendar;adventtikalenteri;uskonto yleiset
12;aerial_indoor;sisäantenni;tekniikka tv
13;aerobics_dance;aerobic;urheilu
14;aeroplane;lentokone;liikenne ilmailu
15;afraid_lady;nainen peloissaan;ihmiset tunteet
16;afraid_man;mies peloissaan;ihmiset tunteet
17;after;perässä;kuvaileva sijainti
18;afternoon;iltapäivä;kuvaileva aika
19;aftershave;partavesi;terveys hoitotarvikkeet
20;aftershave_1;partavesi;terveys hoitotarvikkeet
21;against;vastaan;kuvaileva sijainti
22;ahead;edessä;kuvaileva sijainti
23;air_person_1a;lentäjä;ihmiset ammatit
24;air_person_1b;lentäjä;ihmiset ammatit
25;air_person_2a;lentäjä;ihmiset ammatit
26;air_person_2b;lentäjä;ihmiset ammatit
27;air_steward_1a;lentoemäntä;ihmiset ammatit
28;air_steward_1b;lentoemäntä;ihmiset ammatit
29;air_steward_2a;lentoemäntä;ihmiset ammatit
30;air_steward_2b;lentoemäntä;ihmiset ammatit
31;airways;hengityskanava;terveys kehonosat
32;algebra_class;matematiikka;numerot laskutoimitukset
33;algebra_formula;matematiikan kaava;numerot laskutoimitukset
34;almond;manteli;ruoka pähkinät
35;ambulance;ambulanssi;liikenne tieliikenne
36;angel;enkeli;uskonto henkilö
37;angry_lady;vihainen nainen;ihmiset tunteet
38;angry_man;vihainen mies;ihmiset tunteet
39;ankle;nilkka;terveys kehonosat
40;answer;vastaus;numerot laskutoimitukset
41;ant;muurahainen;eläimet hämähäkit ja hyönteiset
42;ant_eater;muurahaiskarhu;eläimet nisäkkäät
43;antelope;antilooppi;eläimet nisäkkäät
44;apple;omena;ruoka hedelmät
45;apple_juice;omena mehu;juomat
46;apricot;aprikoosi;ruoka hedelmät
47;apron;esiliina;työkalut työpaja
48;aquarium;akvaario;eläimet elinympäristö
49;arch_lever_file;mappi;työ ja koulu
50;archery;jousiammunta;urheilu
51;archery_target;jousiammunta maali;urheilu urheiluvälineet
52;arm;käsi;terveys kehonosat
53;arm_chair;nojatuoli;rakennukset huonekalut
54;arms;kädet;terveys kehonosat
55;armwrestle_,_to;kädenvääntö;vapaa-aika pelit
56;army_tank;panssarivaunu;sotilaallinen
57;around;ympärillä;kuvaileva suunta
58;arrow_keys;nuolinäppäimet;tietotekniikka
59;art;taide;taide
60;art_class;kuvaamataito;työ ja koulu
61;art_room;kuvaamataidon luokka;rakennukset koulu
62;artichoke;artisokka;ruoka vihannekset ja salaatit
63;artist_palette;paletti;taide
64;ash_wednesday;tuhkakeskiviikko;uskonto juhlapäivä
65;asparagus;parsa;ruoka vihannekset ja salaatit
66;assembly;kokous;työ ja koulu
67;at_key;ät-merkki;tietotekniikka
68;atom;atomi;tiede
69;aubergine;munakoiso;ruoka vihannekset ja salaatit
70;aunt_maternal;täti;ihmiset suhteet
71;aunt_paternal;täti;ihmiset suhteet
72;auroscope;otoskooppi;terveys sairaalatarvikkeet
73;autumn;syksy;kuvaileva aika
74;avocado;avokado;ruoka vihannekset ja salaatit
75;awake;hereillä;kuvaileva tila
76;away;poissa;kuvaileva suunta
77;b;b;aakkoset
78;b_-_lower_case;b;aakkoset
79;baby;vauva;ihmiset kuvaileva
80;baby_oil;vauvaöljy;terveys hoitotarvikkeet
81;baby_powder;vauvatalkki;terveys hoitotarvikkeet
82;back;selkä;terveys kehonosat
83;back_1;selkä;terveys kehonosat
84;back_ache;selkäkipu;terveys terveydentila
85;back_garden;takapiha;rakennukset puutarha ja maatila
86;backstop;taustaverkko;urheilu urheiluvälineet
87;backwards;taaksepäin;kuvaileva suunta
88;bacon;pekoni;ruoka liha
89;bad;huono;kuvaileva tila
90;badger;mäyrä;eläimet nisäkkäät
91;badger_2;mäyrä;eläimet nisäkkäät
92;badminton;sulkapallo;urheilu
93;badminton_racket;tennismaila;urheilu urheiluvälineet
94;bagel;bageli;ruoka viljatuotteet ja leivonta
95;bagel_2;bageli;ruoka viljatuotteet ja leivonta
96;bake_,_to;leipoa;ruoka ruuanlaitto
97;baked_beans;keitetyt pavut;ruoka vihannekset ja salaatit
98;baked_beans_2;keitetyt pavut;ruoka vihannekset ja salaatit
99;baker_1a;leipuri;ihmiset ammatit
100;baker_1b;leipuri;ihmiset ammatit
101;baker_2a;leipuri;ihmiset ammatit
102;baker_2b;leipuri;ihmiset ammatit
103;baking_powder;leivinjauhe;ruoka viljatuotteet ja leivonta
104;baking_tray;uunipelti;ruoka välineet
105;ball;pallo;vapaa-aika lelut
106;ball_beach;rantapallo;vapaa-aika lelut
107;ball_pool;pallomeri;vapaa-aika lelut
108;balloon;ilmapallo;juhlat välineet
109;banana;banaani;ruoka hedelmät
110;banana_bunch;banaaniterttu;ruoka hedelmät
111;bank;pankki;talous
112;bank_card;luottokortti;talous
113;banquet_buffet;juhlabuffet;ruoka annokset
114;bap;voisämpylä;ruoka viljatuotteet ja leivonta
115;barbeque;grilli;rakennukset puutarha ja maatila
116;barbeque_,_to;grillata;ruoka ruuanlaitto
117;base_rock;kallioperä;tiede
118;baseball_base;pesä;urheilu urheiluvälineet
119;baseball_bat;pesäpallomaila;urheilu urheiluvälineet
120;baseball_game;pesäpallo;urheilu
121;baseball_glove;pesäpalloräpylä;urheilu urheiluvälineet
122;baseball_player;pesäpalloilija;urheilu
123;basket;kori;rakennukset tarvikkeet
124;basket_2;kori;rakennukset tarvikkeet
125;basketball;koripallo;urheilu
126;basketball_ball;koripallo;urheilu urheiluvälineet
127;basketball_game;koripallopeli;urheilu
128;bat;maila;eläimet nisäkkäät
129;bath;kylpyamme;rakennukset tarvikkeet
130;bath_animal_,_to;kylvettää eläin;eläimet eläintenhoito
131;bath_mat;kylpyhuoneen matto;rakennukset tarvikkeet
132;bathe_,_to;kylpeä;terveys hoitotoimet
133;battery_1;paristo;tekniikka muut
134;battery_1a;paristo;tekniikka muut
135;battery_2;paristo;tekniikka muut
