fileName;synonyms;closestWords;relatedWords;categories
A.svg;a&A&A-tyyppi&A-ryhmä&ampeeri&adeniini&A-vitamiini;veriryhmä&a-ryhmä&latinalaiset aakkoset&aakkonen&sähkövirtayksikkö&metrinen pituusyksikkö&Å&puriini&dna&rna&rasvaliukoinen vitamiini&retinoli&dehydroretinoli;veriryhmä&latinalaiset kirjaimet&latinalaiset aakkoset&kirjain&aakkoskirjain&aakkonen&sähkövirtayksikkö&metrinen pituusyksikkö&ångström&Ångströmin yksikkö&Å&puriini&deoksiribonukleiinihappo&DNA&ribonukleiinihappo&RNA&rasvaliukoinen vitamiini&A1-vitamiini&retinoli&A2-vitamiini&dehydroretinoli;aakkoset
a_-_lower_case.svg;a&A&A-tyyppi&A-ryhmä&ampeeri&adeniini&A-vitamiini;veriryhmä&a-ryhmä&latinalaiset aakkoset&aakkonen&sähkövirtayksikkö&metrinen pituusyksikkö&Å&puriini&dna&rna&rasvaliukoinen vitamiini&retinoli&dehydroretinoli;veriryhmä&latinalaiset kirjaimet&latinalaiset aakkoset&kirjain&aakkoskirjain&aakkonen&sähkövirtayksikkö&metrinen pituusyksikkö&ångström&Ångströmin yksikkö&Å&puriini&deoksiribonukleiinihappo&DNA&ribonukleiinihappo&RNA&rasvaliukoinen vitamiini&A1-vitamiini&retinoli&A2-vitamiini&dehydroretinoli;aakkoset
above.svg;yläpuolella&hallitseva&dominoiva;korkea;korkea;kuvaileva & sijainti
absent.svg;poissa;toimeton&kadonnut&poissaoleva&kateissa&kauaksi&irtisanoa&ulos&kilpailuttaa&savuta&pois&kaikonnut&magh&häviksissä&paossa&matkoilla&tiessään&veke&käpälämäessä&hävinnyt&luota&amok&veks&ulkona&esiin&esillä&kuollut;toimeton&kadotettu&menetetty&kadonnut&poissaoleva;tila & kuvaileva
acne_spots.svg;akne&tavallinen finnitauti;tulehdussairaus&ihohäiriö&ruusufinni&näppy;tulehdussairaus&ihosairaus&ihon sairaus&ihohäiriö&ruusufinni&näppylä&finni&märkänäppylä&näppy;terveydentila & terveys & sairaus & sairaudet
acorn.svg;tammenterho;hedelmä;hedelmä;kasvit & kasvi & puu & puut & metsä
across.svg;yli;läpi&halki&luku&numero&lukumäärä&määrä&ohjelmanumero&numeroida&olla&nousta&enemmän;ylhäinen;suunta & kuvaileva
activity_centre.svg;toimintakeskus;;keskus;vapaa-aika & lelut
add.svg;plus&yhteenlasku;epänegatiivinen&positiivinen&aritmeettinen laskutoimitus&merkki&ynnämerkki&ynnä;epänegatiivinen&positiivinen&aritmeettinen laskutoimitus;laskutoimitukset & numerot & matematiikka & matikka
Advent.svg;adventti&toinen tuleminen&Kristuksen toinen tuleminen&toinen adventti&Jeesuksen toinen tuleminen;jeesuksen toinen tuleminen&ilmenemismuoto&aika;ilmenemismuoto&aika;uskonto & juhlapäivä & juhlapäivä & uskonnot
Advent_calendar.svg;adventtikalenteri;;;uskonto
aerial_indoor.svg;sisäantenni;;;tekniikka & tv
aerobics_dance.svg;aerobic&aerobiikka&aerobinen harjoittelu;kardiopulmonaarinen harjoittelu;kardiopulmonaarinen harjoittelu;urheilu
aeroplane.svg;lentokone&ilma-alus;matkustajalentokone&amfibiolentokone&kaksitasoinen lentokone&viholliskone&pommikone&alus&risteilyohjus&deltasiipi&hävittäjälentokone&lentokonehallissa usein korjattavana oleva lentokone&ilmaa raskaampi ilma-alus&suihkukone&ilmaa keveämpi ilma-alus&yksitasoinen lentokone&monimoottorikone&potkurikone&tiedustelulentokone&vesilentokone&suksikone&häivelentokone&säiliökone&laivue&ajoneuvo&lentsikka&ilmakiituri;matkustajalentokone&vesitaso&amfibiolentokone&kaksitaso&kaksitasoinen lentokone&bogy&bogie&bogey&viholliskone&pommikone&alus&risteilyohjus&deltasiipi&hävittäjä&hävittäjälentokone&lentokonehallissa usein korjattavana oleva lentokone&ilmaa raskaampi ilma-alus&suihkukone&ilmaa keveämpi ilma-alus&yksitaso&yksitasoinen lentokone&monimoottorinen lentokone&monimoottorikone&potkurikone&tiedustelulentokone&vesilentokone&suksikone&häivelentokone&säiliökone&laivue;ilmailu & liikenne & lentokone
afraid_lady.svg;nainen peloissaan;;;ihmiset & tunteet
afraid_man.svg;mies peloissaan;;;ihmiset & tunteet
after.svg;perässä&peräpuolella oleva&peräpuolella&perässä oleva&jäljessä oleva&jäljessä&perään&takana&tappiolla oleva&tappiolla;takimmainen&kintereillä&post meridiem&drauf;taakse&takana oleva&takimmainen&alas;kuvaileva & sijainti
afternoon.svg;iltapäivä;valoisa aika;päivä&päiväsaika&valoisa aika;kuvaileva & aika
aftershave.svg;partavesi;rommi&voide;rommi&voide;hoitotarvikkeet & terveys
aftershave_1.svg;partavesi;rommi&voide;rommi&voide;hoitotarvikkeet & terveys
against.svg;vastaan;eteen&versus&entgegen&contre&wogegen&dagegen;hyväksyä & ottaa mukaan & päästää & päästää sisään;kuvaileva & sijainti
ahead.svg;edessä&läsnäolo;läheisyys&edustalla&etualalla&etupuolella&etunenässä&edempänä&johdossa&lähempänä&vieressä&esteenä&tiellä&ennen&entgegen&rak&contre&wogegen&dagegen&ekr.&ennen kuin&edelle&aikaisintaan;läheisyys;kuvaileva & sijainti
air_person_1a.svg;lentäjä&ilmailija&lentokoneen ohjaaja&ilmalaivan ohjaaja&ilmapurjehtija&pilotti;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&perämies&kamikazelentäjä&koulutettu työntekijä&koelentäjä&siipimies&floyd bennett&louis bleriot&jacqueline cochran&james harold doolittle&amelia earhart&howard robard hughes&lucky lindy&billy mitchell&wiley post&liitelijä;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&lentoperämies&toinen lentäjä&perämies&itsemurhalentäjä&kamikazelentäjä&ammattitaitoinen työntekijä&koulutettu työntekijä&koelentäjä&siipimies&Bennett&Floyd Bennett&Bleriot&Louis Bleriot&Cochran&Jacqueline Cochran&Doolittle&Jimmy Doolittle&James Harold Doolittle&Earhart&Amelia Earhart&Hughes&Howard Hughes&Howard Robard Hughes&Lindbergh&Charles Lindbergh&Charles A. Lindbergh&Charles Augustus Lindbergh&Lucky Lindy&Mitchell&William Mitchell&Billy Mitchell&Post&Wiley Post;ihmiset & ammatit
air_person_1b.svg;lentäjä&ilmailija&lentokoneen ohjaaja&ilmalaivan ohjaaja&ilmapurjehtija&pilotti;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&perämies&kamikazelentäjä&koulutettu työntekijä&koelentäjä&siipimies&floyd bennett&louis bleriot&jacqueline cochran&james harold doolittle&amelia earhart&howard robard hughes&lucky lindy&billy mitchell&wiley post&liitelijä;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&lentoperämies&toinen lentäjä&perämies&itsemurhalentäjä&kamikazelentäjä&ammattitaitoinen työntekijä&koulutettu työntekijä&koelentäjä&siipimies&Bennett&Floyd Bennett&Bleriot&Louis Bleriot&Cochran&Jacqueline Cochran&Doolittle&Jimmy Doolittle&James Harold Doolittle&Earhart&Amelia Earhart&Hughes&Howard Hughes&Howard Robard Hughes&Lindbergh&Charles Lindbergh&Charles A. Lindbergh&Charles Augustus Lindbergh&Lucky Lindy&Mitchell&William Mitchell&Billy Mitchell&Post&Wiley Post;ihmiset & ammatit
air_person_2a.svg;lentäjä&ilmailija&lentokoneen ohjaaja&ilmalaivan ohjaaja&ilmapurjehtija&pilotti;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&perämies&kamikazelentäjä&koulutettu työntekijä&koelentäjä&siipimies&floyd bennett&louis bleriot&jacqueline cochran&james harold doolittle&amelia earhart&howard robard hughes&lucky lindy&billy mitchell&wiley post&liitelijä;naislentäjä&taitolentäjä&lentokapteeni&taistelulentäjä&lentoperämies&toinen lentäjä&perämies&itsemurhalentäjä&kamikazelentäjä&ammattitaitoinen työntekijä&koulutettu työntekijä&koelentäjä&siipimies&Bennett&Floyd Bennett&Bleriot&Louis Bleriot&Cochran&Jacqueline Cochran&Doolittle&Jimmy Doolittle&James Harold Doolittle&Earhart&Amelia Earhart&Hughes&Howard Hughes&Howard Robard Hughes&Lindbergh&Charles Lindbergh&Charles A. Lindbergh&Charles Augustus Lindbergh&Lucky Lindy&Mitchell&William Mitchell&Billy Mitchell&Post&Wiley Post;ihmiset & ammatit
